title,description,keywords,category,year
Prisoners,Un père désespéré mène sa propre enquête après l'enlèvement de sa fille.,enlèvement; enquête; vengeance,Thriller,2013
Whiplash,Un jeune batteur affronte un professeur tyrannique pour atteindre l'excellence.,musique; ambition; pression,Drame,2014
La La Land,Deux artistes tentent de concilier amour et carrière à Los Angeles.,musique; romance; rêve,Comédie,2016
Le Discours d'un Roi,Un roi britannique lutte contre son bégaiement avec l'aide d'un orthophoniste.,royauté; handicap; courage,Drame,2010
The Revenant,Un trappeur laissé pour mort cherche à se venger de ceux qui l'ont trahi.,survie; nature; vengeance,Action,2015
1917,Deux soldats britanniques doivent délivrer un message crucial pendant la Première Guerre mondiale.,guerre; mission; urgence,Action,2019
Django Unchained,Un esclave affranchi devient chasseur de primes pour sauver sa femme.,esclavage; vengeance; western,Action,2012
No Country for Old Men,Un chasseur trouve une mallette d'argent et devient la cible d'un tueur implacable.,argent; tueur; destin,Thriller,2007
The Social Network,"La création de Facebook entraîne conflits, trahisons et procès.",technologie; amitié; ambition,Drame,2010
The Imitation Game,Alan Turing tente de décrypter Enigma pendant la Seconde Guerre mondiale.,cryptographie; guerre; génie,Drame,2014
Le Loup de Wall Street,Un courtier ambitieux sombre dans l'excès et la corruption.,finance; excès; crime,Comédie,2013
Les Figures de l'Ombre,Trois femmes afro-américaines jouent un rôle clé dans la conquête spatiale.,nasa; mathématiques; discrimination,Drame,2016
The Grand Budapest Hotel,Un concierge excentrique et son protégé vivent des aventures rocambolesques.,hôtel; humour; aventure,Comédie,2014
Vice-Versa,Une jeune fille doit gérer ses émotions personnifiées lors d'un déménagement.,émotions; famille; animation,Animation,2015
Coco,Un garçon passionné de musique explore le monde des morts pour découvrir ses origines.,musique; famille; tradition,Animation,2017
Zootopie,Une lapine policière enquête sur une disparition dans une ville d'animaux.,animaux; enquête; humour,Animation,2016
Soul,Un musicien découvre le sens de la vie après une expérience hors du corps.,musique; âme; philosophie,Animation,2020
Your Name,Deux adolescents échangent mystérieusement leurs corps et tentent de se retrouver.,amour; destin; mystère,Animation,2016
Le Château Ambulant,Une jeune femme est victime d'un sortilège et rencontre un magicien mystérieux.,magie; guerre; aventure,Fantasy,2004
Princess Mononoké,Un jeune guerrier se retrouve au cœur d'un conflit entre humains et esprits de la forêt.,nature; esprits; guerre,Fantasy,1997
Le Labyrinthe de Pan,Une fillette découvre un monde fantastique au milieu de la guerre civile espagnole.,fantasy; guerre; créatures,Fantasy,2006
It Follows,Une entité surnaturelle poursuit inlassablement ses victimes.,malédiction; peur; surnaturel,Horreur,2014
Get Out,Un jeune homme découvre un secret terrifiant dans la famille de sa petite amie.,racisme; manipulation; horreur,Horreur,2017
A Quiet Place,Une famille survit dans un monde envahi par des créatures sensibles au bruit.,silence; survie; créatures,Horreur,2018
Midsommar,Un festival suédois idyllique se transforme en cauchemar pour un groupe d'amis.,culte; rituel; horreur,Horreur,2019
The Witch,Une famille puritaine est confrontée à des forces maléfiques dans la forêt.,sorcellerie; isolement; peur,Horreur,2015
Baby Driver,Un jeune chauffeur talentueux veut quitter le monde du crime.,musique; poursuite; braquage,Action,2017
Skyfall,James Bond affronte un ennemi lié au passé de M.,espionnage; vengeance; action,Action,2012
Madame Doubtfire,Un père se déguise en gouvernante pour passer du temps avec ses enfants.,famille; humour; déguisement,Comédie,1993
The Truman Show,Un homme découvre que sa vie entière est une émission de télévision.,réalité; manipulation; liberté,Drame,1998
Cast Away,Un homme tente de survivre sur une île déserte après un crash aérien.,survie; solitude; nature,Drame,2000
Slumdog Millionaire,Un jeune homme pauvre participe à un jeu télévisé et raconte son histoire.,destin; amour; pauvreté,Drame,2008
The Martian,Un astronaute doit survivre seul sur Mars après avoir été laissé pour mort.,mars; survie; science,Sci-Fi,2015
Edge of Tomorrow,Un soldat revit la même journée dans une guerre contre des extraterrestres.,boucle temporelle; guerre; aliens,Sci-Fi,2014
Tenet,Un agent doit manipuler le temps pour empêcher une catastrophe mondiale.,temps; inversion; espionnage,Sci-Fi,2020
L'Ombre du Temps,Un scientifique découvre une faille temporelle qui menace d'effacer son existence.,temps; paradoxe; science,Sci-Fi,2022
Les Jardins de Verre,Une botaniste enquête sur une plante mystérieuse capable de manipuler les émotions humaines.,botanique; mystère; émotions,Drame,2018
Le Dernier Signal,Un astronaute capte un message extraterrestre provenant d'une civilisation éteinte.,espace; message; solitude,Sci-Fi,2021
La Chambre Rouge,Une enquêtrice explore une série de meurtres liés à une pièce secrète dans un hôtel.,enquête; meurtre; secret,Thriller,2017
Les Héritiers du Vent,Deux frères découvrent qu'ils possèdent un pouvoir ancestral lié aux tempêtes.,famille; magie; nature,Fantasy,2015
Le Masque d'Ébène,Un voleur masqué affronte une organisation criminelle qui contrôle la ville.,crime; vengeance; action,Action,2014
Les Murmures du Lac,Une femme retourne dans son village natal où un lac semble lui parler.,mystère; nature; surnaturel,Drame,2019
Nova-9,Une pilote d'élite doit empêcher une IA militaire de déclencher une guerre interplanétaire.,ia; guerre; futur,Sci-Fi,2023
Le Rire des Ombres,Un comédien raté découvre qu'il peut voir les peurs des gens sous forme d'ombres.,humour; psychologie; magie,Comédie,2016
Les Portes d'Ambre,Une archéologue trouve un portail menant à un royaume oublié.,archéologie; aventure; royaume,Fantasy,2013
La Nuit des Échos,Un journaliste reçoit des appels provenant d'une victime décédée.,appel; mystère; enquête,Thriller,2018
Les Cendres du Phénix,Une jeune femme renaît littéralement de ses cendres après un accident.,renaissance; feu; destin,Fantasy,2020
Le Chant des Machines,Un ingénieur découvre que les robots d'une usine développent une conscience collective.,robots; conscience; usine,Sci-Fi,2019
Les Veilleurs,Un groupe d'inconnus se réveille dans un bunker sans souvenir de leur identité.,mémoire; bunker; survie,Thriller,2015
La Ville Inversée,Un adolescent se retrouve dans une ville où les lois de la physique sont inversées.,physique; aventure; étrange,Sci-Fi,2017
Les Couleurs du Silence,Une peintre sourde perçoit les émotions sous forme de couleurs lumineuses.,art; handicap; émotions,Drame,2021
Le Pacte des Loups Noirs,Un village isolé est protégé par une meute de loups surnaturels.,loups; légende; forêt,Horreur,2014
Les Voyageurs de l'Aube,Un équipage traverse des dimensions pour retrouver leur monde d'origine.,dimensions; voyage; équipe,Sci-Fi,2020
La Danse des Brumes,Une danseuse découvre qu'elle peut manipuler la brume pour créer des illusions.,danse; magie; illusions,Fantasy,2018
Les Oubliés du Terminal,Des passagers coincés dans un aéroport désert découvrent qu'ils sont les seuls survivants.,survie; mystère; isolement,Thriller,2022
Harry Potter à l'école des sorciers,Un jeune orphelin découvre qu'il est un sorcier et entre à Poudlard pour apprendre la magie tout en enquêtant sur une menace cachée.,"amitié, sorcellerie, magie",Fantasy,2001
